Date,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy
2/1/2016,0.10,9.45,3.11,0.32,79.46,4.70,29.23,30.02,20256.00
2/2/2016,0.80,3.94,6.99,6.22,93.60,13.29,28.91,29.70,1761.00
2/3/2016,0.87,8.70,1.62,0.02,85.00,16.73,29.03,29.82,2775.00
2/4/2016,0.37,10.00,-2.47,-5.89,74.52,9.46,29.46,30.26,28695.00
2/5/2016,0.52,9.21,-2.00,-4.15,82.03,5.92,29.55,30.35,9517.00
2/6/2016,0.13,8.12,0.91,-1.62,81.03,5.48,29.44,30.24,26973.00
2/7/2016,0.21,10.00,4.24,0.54,73.80,12.71,29.09,29.88,22365.00
2/8/2016,0.87,7.84,-3.33,-5.05,83.53,14.46,28.96,29.75,4995.00
2/9/2016,1.00,6.01,-7.80,-10.39,78.34,17.27,29.10,29.89,6641.00
2/10/2016,0.25,10.00,-9.72,-13.98,67.70,10.30,29.29,30.08,20758.00
2/11/2016,0.34,10.00,-7.64,-13.73,60.36,3.85,29.48,30.28,30910.00
2/12/2016,0.62,9.21,-5.78,-10.00,69.76,12.42,29.46,30.26,8105.00
2/13/2016,0.08,10.00,-10.12,-17.77,52.32,7.44,29.73,30.54,30358.00
2/14/2016,1.00,6.37,-7.29,-9.99,78.47,13.79,29.38,30.18,5814.00
2/15/2016,0.94,3.86,-2.42,-2.68,94.02,6.43,29.09,29.88,7570.00
2/16/2016,0.77,6.99,-1.29,-2.92,87.57,4.93,29.08,29.87,27097.00
2/17/2016,0.82,8.10,0.10,-2.43,82.52,5.60,29.44,30.24,7571.00
2/18/2016,0.42,7.96,3.44,0.32,78.58,15.08,29.41,30.21,19145.00
2/19/2016,0.04,10.00,10.03,4.24,65.97,17.97,29.04,29.82,20459.00
2/20/2016,0.04,10.00,10.54,2.92,56.86,10.75,29.15,29.94,30380.00
2/21/2016,0.60,10.00,4.86,1.64,78.61,10.27,29.29,30.08,27170.00
2/22/2016,0.30,10.00,3.02,-0.82,74.53,7.42,29.34,30.13,26656.00
2/23/2016,0.07,10.00,3.85,-1.32,69.81,13.39,29.19,29.98,26058.00
2/24/2016,1.00,4.44,0.98,-0.49,86.90,24.83,28.78,29.56,1468.00
