FY2021 UTILITY CONSUMPTION,,,,
,,,,
Sum of Usage,,,,
,E,G,O,S
CRC,"  136,523,693 ","  7,692,986 ","  174,161 ",  -   
500,"  9,437,760.0 ","  1,718,131.0 ",,
501,,"  16,406.0 ",,
504,"  10,685.0 ",,"  3,385.4 ",
505,,"  1,020.0 ",,
506,"  12,572.0 ","  1,348.0 ",,
508,"  4,331.0 ","  7,028.0 ",,
509,"  1,120,900.0 ","  63,950.0 ",,
510,"  34,703.0 ",  313.0 ,,
512,"  21,029.0 ","  10,422.0 ",,
513,"  11,452.0 ","  3,878.0 ",,
514,"  53,107.0 ","  6,689.0 ",,
515,"  43,825.0 ","  8,797.0 ","  4,439.5 ",
516,"  54,294.0 ","  3,105.0 ",  803.9 ,
518,"  743,930.0 ","  60,668.0 ",,
519,"  25,187.0 ","  19,723.0 ",,
520,"  102,973.0 ","  5,802.0 ",,
521,"  8,007.0 ","  2,253.0 ",,
522,"  687,760.0 ","  62,293.0 ",,
523,"  30,960.0 ",,,
524,"  83,680.0 ","  13,100.0 ",,
525,"  16,021.0 ",,,
526,"  41,120.0 ",,"  2,920.3 ",
527,"  21,828.0 ","  6,272.0 ",,
528,"  25,521.0 ","  3,226.0 ",,
529,"  12,043.0 ",,"  2,585.5 ",
530,"  125,644.0 ","  1,009.0 ",,
531,"  64,472.0 ","  3,340.0 ","  4,519.4 ",
532,"  13,263.0 ","  2,063.0 ",,
533,"  20,006.0 ","  9,206.0 ",,
534,"  46,197.0 ","  6,427.0 ",,
535,"  17,709.0 ","  2,119.0 ",,
536,"  31,903.0 ","  2,227.0 ","  3,987.8 ",
537,"  20,913.0 ","  3,449.0 ",,
538,"  18,911.0 ","  3,637.0 ",,
539,"  213,520.0 ",  873.0 ,,
540,"  34,309.0 ","  1,478.0 ",,
541,"  29,591.0 ","  2,017.0 ",,
542,"  109,680.0 ",,,
543,"  18,884.0 ",  970.0 ,"  2,291.6 ",
544,"  16,928.0 ",  3.0 ,"  2,310.7 ",
545,"  57,600.0 ",,,
546,"  17,089.0 ",  903.0 ,,
547,"  18,241.0 ","  3,282.0 ",,
548,"  81,040.0 ",,,
551,"  182,694.0 ",,,
552,"  38,706.0 ","  4,593.0 ",,
553,"  18,876.0 ",,"  3,545.6 ",
554,"  37,392.0 ","  1,471.0 ","  5,118.0 ",
555,"  19,418.0 ",,,
556,"  13,640.0 ","  3,617.0 ",,
557,"  33,704.0 ","  1,729.0 ",,
558,"  32,031.0 ","  2,272.0 ",,
560,"  21,765.0 ","  4,414.0 ",,
563,"  34,569.0 ",,,
564,"  2,547.0 ","  1,083.0 ",,
565,"  22,683.0 ","  5,886.0 ",,
568,"  5,555.0 ",,,
571,"  257,400.0 ","  6,833.0 ",,
572,"  15,305.0 ","  2,909.0 ",,
573,"  24,960.0 ","  7,694.0 ",,
574,"  29,445.0 ","  4,582.0 ",,
575,"  539,120.0 ","  36,883.0 ",,
576,"  12,479.0 ",  7.0 ,"  2,962.7 ",
577,"  162,240.0 ","  24,873.0 ",,
578,"  9,595.0 ",,,
579,,  654.0 ,,
581,"  1,190,920.0 ","  43,141.0 ",,
582,"  684,744.0 ","  35,951.0 ",,
583,"  30,960.0 ",,"  1,609.0 ",
584,"  185,859.0 ","  75,777.0 ",,
586,"  163,140.0 ","  8,068.0 ",,
587,"  3,173,820.0 ","  108,287.0 ",,
589,"  17,758.0 ","  3,159.0 ",,
590,"  23,360.0 ","  5,106.0 ",,
592,"  31,726.0 ",,"  1,428.5 ",
593,"  23,292.0 ","  4,281.0 ",,
594,"  145,407.0 ","  8,381.0 ",,
595,"  3,578,880.0 ","  136,025.0 ",,
596,"  921,960.0 ","  60,675.0 ",,
597,"  49,680.0 ","  42,985.0 ",,
598,"  112,393.0 ",  290.0 ,,
599,,"  7,365.0 ",,
600,,"  20,185.0 ",,
601,"  9,216.0 ","  2,808.0 ",,
602,"  402,240.0 ",,,
603,"  695,660.0 ","  61,152.0 ",,
604,"  14,528.0 ","  4,674.0 ",,
605,"  1,675,770.0 ",,,
607,,"  38,285.0 ",,
608,"  5,396,641.0 ","  98,174.0 ",,
610,  938.0 ,"  18,441.0 ",,
612,"  55,680.0 ","  10,699.0 ",,
613,"  55,040.0 ","  4,862.0 ",,
617,"  16,000.0 ","  2,823.0 ",,
618,"  231,867.0 ","  61,891.0 ",,
621,,"  8,475.0 ",,
623,"  652,640.0 ","  57,041.0 ",,
625,"  1,312,100.0 ","  44,474.0 ",,
626,"  1,926,480.0 ",,,
627,"  1,404,470.0 ","  20,325.0 ",,
628,"  155,555.0 ","  2,708.0 ",,
629,"  600,960.0 ",  -   ,,
630,"  461,120.0 ","  9,709.0 ",,
632,,"  1,389.0 ",,
635,"  388,306.0 ","  11,613.0 ",,
636,"  255,280.0 ","  23,779.0 ",,
637,,  -   ,,
643,"  8,723,520.0 ","  185,538.0 ",,
646,"  185,000.0 ","  11,417.0 ","  5,277.8 ",
647,"  11,136,960.0 ","  461,546.0 ",,
649,"  413,676.0 ","  8,182.0 ",,
650,"  345,640.0 ",  -   ,,
652,"  1,239,400.0 ",  31.0 ,,
653,"  17,708.0 ","  2,998.0 ",,
654,"  20,554.0 ",,,
655,"  30,605.0 ",,,
657,"  733,836.0 ","  27,385.0 ",,
658,"  38,490.0 ","  6,128.0 ",,
