building_code,electricity_consumption
500,"9,437,760.00"
501,
504,"10,685.00"
505,
506,"12,572.00"
508,"4,331.00"
509,"1,120,900.00"
510,"34,703.00"
512,"21,029.00"
513,"11,452.00"
514,"53,107.00"
515,"43,825.00"
516,"54,294.00"
518,"743,930.00"
519,"25,187.00"
520,"102,973.00"
521,"8,007.00"
522,"687,760.00"
523,"30,960.00"
524,"83,680.00"
525,"16,021.00"
526,"41,120.00"
527,"21,828.00"
528,"25,521.00"
529,"12,043.00"
530,"125,644.00"
531,"64,472.00"
532,"13,263.00"
533,"20,006.00"
534,"46,197.00"
535,"17,709.00"
536,"31,903.00"
537,"20,913.00"
538,"18,911.00"
539,"213,520.00"
540,"34,309.00"
541,"29,591.00"
542,"109,680.00"
543,"18,884.00"
544,"16,928.00"
545,"57,600.00"
546,"17,089.00"
547,"18,241.00"
548,"81,040.00"
551,"182,694.00"
552,"38,706.00"
553,"18,876.00"
554,"37,392.00"
555,"19,418.00"
556,"13,640.00"
557,"33,704.00"
558,"32,031.00"
560,"21,765.00"
563,"34,569.00"
564,"2,547.00"
565,"22,683.00"
568,"5,555.00"
571,"257,400.00"
572,"15,305.00"
573,"24,960.00"
574,"29,445.00"
575,"539,120.00"
576,"12,479.00"
577,"162,240.00"
578,"9,595.00"
579,
581,"1,190,920.00"
582,"684,744.00"
583,"30,960.00"
584,"185,859.00"
586,"163,140.00"
587,"3,173,820.00"
589,"17,758.00"
590,"23,360.00"
592,"31,726.00"
593,"23,292.00"
594,"145,407.00"
595,"3,578,880.00"
596,"921,960.00"
597,"49,680.00"
598,"112,393.00"
599,
600,
601,"9,216.00"
602,"402,240.00"
603,"695,660.00"
604,"14,528.00"
605,"1,675,770.00"
607,
608,"5,396,641.00"
610,938
612,"55,680.00"
613,"55,040.00"
617,"16,000.00"
618,"231,867.00"
621,
623,"652,640.00"
625,"1,312,100.00"
626,"1,926,480.00"
627,"1,404,470.00"
628,"155,555.00"
629,"600,960.00"
630,"461,120.00"
632,
635,"388,306.00"
636,"255,280.00"
637,
643,"8,723,520.00"
646,"185,000.00"
647,"11,136,960.00"
649,"413,676.00"
650,"345,640.00"
652,"1,239,400.00"
653,"17,708.00"
654,"20,554.00"
655,"30,605.00"
657,"733,836.00"
658,"38,490.00"
659,"22,826.00"
660,"18,792.00"
662,"9,382.00"
664,"5,983.00"
665,"46,654.00"
666,"24,680.00"
667,"15,256.00"
668,"70,770.00"
669,"2,848.00"
670,"14,114.00"
671,"29,701.00"
676,"90,400.00"
677,"193,320.00"
678,"26,663.00"
679,"41,459.00"
680,"15,219.00"
682,"18,593.00"
683,
684,"1,356,560.00"
690,
695,"60,160.00"
696,"14,313.00"
697,
698,"111,360.00"
700,"11,312.00"
701,"76,560.00"
702,"22,023.00"
706,"29,321.00"
707,"41,960.00"
709,"38,353.00"
710,"17,739.00"
711,"35,034.00"
712,"76,480.00"
713,"217,200.00"
714,"2,624,800.00"
716,"37,476.00"
718,"9,700.00"
720,"6,919.00"
721,"22,720.00"
723,
724,"64,473.00"
727,"164,811.00"
730,"10,498.00"
731,"4,052.00"
732,"4,305.00"
733,"16,471.00"
734,"52,501.00"
736,"18,440.00"
738,"32,461.00"
739,"14,550.00"
740,"31,320.00"
741,"16,661.00"
742,"89,440.00"
743,"34,121.00"
744,"59,469.00"
745,"16,567.00"
746,"12,824.00"
747,"17,147.00"
748,"54,589.00"
750,"66,696.00"
751,"185,760.00"
753,"22,675.00"
754,"947,540.00"
756,"255,621.00"
758,"815,284.00"
761,"8,754,481.00"
762,"1,016,280.00"
763,"65,000.00"
