Site Code,Building Code,Building Description,Building Name,Building Type,Street 1 Number,Street 1 Address,Street 2 Number,Street 2 Address,City,Sq Ft,Number of Buildings,Height,Stories
CRC,500,10 BUICK STREET,STUDENT VILLAGE 1,Residential,10,BUICK STREET,,,Boston,384941.16,1,195',B+G+19
CRC,501,915 COMMONWEALTH AVENUE,FITNESS AND RECREATION CENTER,Student Support,915,COMMONWEALTH AVENUE,,,Boston,285033.33,1,55',2L + 4
CRC,503,925 COMMONWEALTH AVENUE,AGGANIS ARENA,Athletic,925,COMMONWEALTH AVENUE,,,Boston,550208.11,1,67',2LL +B + 4
CRC,504,116 BAY STATE ROAD,,Academic,116,BAY STATE ROAD,,,Boston,4864.73,1,44',B + 4
CRC,505,122 BAY STATE ROAD,,Administrative,122,BAY STATE ROAD,,,Boston,5531.46,1,37',B + 4
CRC,506,112 BAY STATE ROAD,,Residential,112,BAY STATE ROAD,,,Boston,4961.74,1,44',B+4
CRC,508,183 BAY STATE ROAD,,Residential,183,BAY STATE ROAD,,,Boston,8621.75,1,40',B+4
CRC,509,610 BEACON STREET,MYLES STANDISH HALL,Residential,610,BEACON STREET,30,BAY STATE ROAD,Boston,203525.46,1,80',B + 9
CRC,510,68-70 BAY STATE ROAD,,Residential,68-70,BAY STATE ROAD,,,Boston,11906.9,2,45',B + 4
CRC,512,69 BAY STATE ROAD,,Residential,69,BAY STATE ROAD,,,Boston,8736.45,1,50',B + 4
CRC,513,128 BAY STATE ROAD,,Academic,128,BAY STATE ROAD,,,Boston,5400.13,1,37',B + 3
CRC,514,79 BAY STATE ROAD,,Residential,79,BAY STATE ROAD,,,Boston,11435.95,1,58',B + 6
CRC,515,81 BAY STATE ROAD,,Residential,81,BAY STATE ROAD,,,Boston,10703.48,1,45',B + 5
CRC,516,90-92 BAY STATE ROAD,,Residential,90-92,BAY STATE ROAD,,,Boston,12349.05,2,45',B+4
CRC,517,125 BAY STATE ROAD,,Administrative,125,BAY STATE ROAD,,,Boston,10673.96,1,"48'6""",B + 4
CRC,518,91 BAY STATE ROAD,KILACHAND HALL,Residential,91,BAY STATE ROAD,,,Boston,113335.15,1,"95'6""",B + 9
CRC,519,96 BAY STATE ROAD,,Residential,96,BAY STATE ROAD,,,Boston,28553.25,1,69',B+5+P
CRC,520,121 BAY STATE ROAD,,Academic,121,BAY STATE ROAD,,,Boston,12547.37,1,"48'6""",B + 4
CRC,521,118 BAY STATE ROAD,,Academic,118,BAY STATE ROAD,,,Boston,4904.98,1,44',B + 4
CRC,522,140 BAY STATE ROAD,TOWERS RESIDENCE HALL,Residential,140,BAY STATE ROAD,,,Boston,127815.2,1,"79'2""",B + 9
CRC,523,145 BAY STATE ROAD,WELD HOUSE,Academic,145,BAY STATE ROAD,,,Boston,10246.05,1,73',B + 5
CRC,524,147 BAY STATE ROAD,BET SHLOMO V' SARAH WIESEL,Academic,147,BAY STATE ROAD,,,Boston,16700.26,1,73',B + 5
CRC,525,192 BAY STATE ROAD,,Residential,192,BAY STATE ROAD,,,Boston,5128.24,1,41',B+3
CRC,526,152 BAY STATE ROAD,,Academic,152,BAY STATE ROAD,,,Boston,11157.35,1,58',B+G+4
CRC,527,153 BAY STATE ROAD,,Residential,153,BAY STATE ROAD,,,Boston,8140.83,1,"51'6""",B+4
CRC,528,159 BAY STATE ROAD,,Residential,159,BAY STATE ROAD,,,Boston,7397.32,1,42',B+4
CRC,529,164 BAY STATE ROAD,,Residential,164,BAY STATE ROAD,,,Boston,6082.02,1,50',B+4
CRC,530,167-169 BAY STATE ROAD,,Residential,167-169,BAY STATE ROAD,,,Boston,13947.58,2,"50',40'",B+4
CRC,531,158-162 BAY STATE ROAD,COMMON GROUND HOUSE,Residential,158-162,BAY STATE ROAD,,,Boston,14907.94,3,"78',60',60",B+4
