,Date,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,Site Performance Estimate
0,2016-02-01,0.1,9.45,3.11,0.32,79.46,4.7,29.23,30.02,20256.0,19043
1,2016-02-02,0.8,3.94,6.99,6.22,93.6,13.29,28.91,29.7,1761.0,19170
2,2016-02-03,0.87,8.7,1.62,0.02,85.0,16.73,29.03,29.82,2775.0,19298
3,2016-02-04,0.37,10.0,-2.47,-5.89,74.52,9.46,29.46,30.26,28695.0,19425
4,2016-02-05,0.52,9.21,-2.0,-4.15,82.03,5.92,29.55,30.35,9517.0,19553
5,2016-02-06,0.13,8.12,0.91,-1.62,81.03,5.48,29.44,30.24,26973.0,19680
6,2016-02-07,0.21,10.0,4.24,0.54,73.8,12.71,29.09,29.88,22365.0,19808
7,2016-02-08,0.87,7.84,-3.33,-5.05,83.53,14.46,28.96,29.75,4995.0,19935
8,2016-02-09,1.0,6.01,-7.8,-10.39,78.34,17.27,29.1,29.89,6641.0,20063
9,2016-02-10,0.25,10.0,-9.72,-13.98,67.7,10.3,29.29,30.08,20758.0,20190
10,2016-02-11,0.34,10.0,-7.64,-13.73,60.36,3.85,29.48,30.28,30910.0,20317
11,2016-02-12,0.62,9.21,-5.78,-10.0,69.76,12.42,29.46,30.26,8105.0,20445
12,2016-02-13,0.08,10.0,-10.12,-17.77,52.32,7.44,29.73,30.54,30358.0,20572
13,2016-02-14,1.0,6.37,-7.29,-9.99,78.47,13.79,29.38,30.18,5814.0,20700
14,2016-02-15,0.94,3.86,-2.42,-2.68,94.02,6.43,29.09,29.88,7570.0,20804
15,2016-02-16,0.77,6.99,-1.29,-2.92,87.57,4.93,29.08,29.87,27097.0,20885
16,2016-02-17,0.82,8.1,0.1,-2.43,82.52,5.6,29.44,30.24,7571.0,20967
17,2016-02-18,0.42,7.96,3.44,0.32,78.58,15.08,29.41,30.21,19145.0,21048
18,2016-02-19,0.04,10.0,10.03,4.24,65.97,17.97,29.04,29.82,20459.0,21129
19,2016-02-20,0.04,10.0,10.54,2.92,56.86,10.75,29.15,29.94,30380.0,21211
20,2016-02-21,0.6,10.0,4.86,1.64,78.61,10.27,29.29,30.08,27170.0,21292
21,2016-02-22,0.3,10.0,3.02,-0.82,74.53,7.42,29.34,30.13,26656.0,21373
22,2016-02-23,0.07,10.0,3.85,-1.32,69.81,13.39,29.19,29.98,26058.0,21454
23,2016-02-24,1.0,4.44,0.98,-0.49,86.9,24.83,28.78,29.56,1468.0,21536
24,2016-02-25,0.88,9.7,1.29,-1.71,77.66,13.36,29.2,30.0,14633.0,21617
25,2016-02-26,0.56,10.0,-0.71,-3.64,76.76,8.22,29.22,30.24,16864.0,21698
26,2016-02-27,0.0,9.48,4.25,0.7,75.45,10.82,29.21,30.0,32570.0,21780
27,2016-02-28,0.28,9.99,10.59,5.47,63.23,21.01,26.93,29.69,25887.0,21861
28,2016-02-29,0.19,10.0,6.68,1.49,52.65,12.14,21.42,29.95,31868.0,21942
29,2016-03-01,0.8,9.38,1.19,-1.66,80.88,14.03,29.07,29.86,4046.0,22018
30,2016-03-02,0.49,9.53,-1.43,-7.64,62.9,7.69,29.35,30.14,30943.0,22094
31,2016-03-03,0.99,5.36,1.38,0.08,92.85,9.17,29.22,30.01,2916.0,22170
32,2016-03-04,0.41,9.97,1.05,-2.63,76.56,5.96,29.36,30.16,30271.0,22246
33,2016-03-05,1.0,7.42,3.88,1.3,80.86,9.46,29.34,30.14,9662.0,22322
