Timestamp,New Nexus 1272 Meter,Inverters,Site Performance Estimate
11/18/2015,3475,3995,14959
11/19/2015,22876,23576,14897
11/20/2015,14163,14841,14835
11/21/2015,-391,147,14774
11/22/2015,455,987,14712
11/23/2015,5416,6012,14651
11/24/2015,19495,20198,14589
11/25/2015,14858,15456,14527
11/26/2015,16326,16905,14466
11/27/2015,514,944,14404
11/28/2015,1749,2225,14343
11/29/2015,5326,5835,14281
11/30/2015,2230,2760,14219
12/1/2015,18281,18973,14160
12/2/2015,3691,4259,14100
12/3/2015,2886,3462,14041
12/4/2015,7611,8206,13981
12/5/2015,7809,8353,13921
12/6/2015,14589,15199,13862
12/7/2015,-103,29.3,13802
12/8/2015,null,null,13743
12/9/2015,null,null,13683
12/10/2015,null,null,13624
12/11/2015,1483,1781,13564
12/12/2015,3260,3755,13504
12/13/2015,875,1307,13445
12/14/2015,3817,4318,13385
12/15/2015,2417,2968,13326
12/16/2015,7740,8314,13357
12/17/2015,3370,3972,13478
12/18/2015,17537,18278,13600
12/19/2015,18743,19470,13722
12/20/2015,10137,10743,13843
12/21/2015,6225,6821,13965
12/22/2015,2652,3195,14087
12/23/2015,1237,1452,14208
12/24/2015,9442,9743,14330
12/25/2015,17207,17593,14452
12/26/2015,314,445,14574
12/27/2015,1364,1473,14695
12/28/2015,605,784,14817
12/29/2015,1885,2131,14939
12/30/2015,2161,2452,15060
12/31/2015,1761,1967,15182
1/1/2016,6713,-337946,15303
1/2/2016,20030,20309,15425
1/3/2016,12500,12800,15547
1/4/2016,19460,19941,15668
1/5/2016,19511,19764,15790
1/6/2016,12004,12569,15912
1/7/2016,9429,10101,16033
1/8/2016,1129,1690,16155
1/9/2016,777,1337,16277
1/10/2016,13305,14056,16398
1/11/2016,10201,10895,16520
1/12/2016,21793,22647,16641
1/13/2016,7534,8132,16763
1/14/2016,20586,21366,16885
1/15/2016,1000,1605,17006
1/16/2016,5782,6419,17127
1/17/2016,7397,8132,17246
1/18/2016,8373,9140,17365
1/19/2016,-522,5963,17485
1/20/2016,-71,621,17604
1/21/2016,-5,676,17723
1/22/2016,-110,469,17842
